job_title,company_name,job_type,location,experience_years,skills
Application Support Engineer,Victory Link -,Hybrid,Maadi,· 0 - 1,[Application Support Engineer] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [MS] [MS SQL] [Software Development] [Software] [Computer Science] [Customer Support] [SQL Server]
Lighting design team leader,Archilight  -,On-site,New Cairo,· 4 - 7,[Lighting design team leader] [Experienced] [Creative/Design/Art] [Design] [3d max] [AutoCAD] [architectural] [DIALux] [Engineering] [3D] [photoshop] [Computer Science]
NetSuite Developer,WUZZUF -,Hybrid,Cairo,· 2 - 4,[NetSuite Developer] [Experienced] [Accounting/Finance] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [NetSuite] [SuiteBuilder] [Suitescript] [ERP] [Netsuite Developer]
Lead CX Consultant - Genesys Cloud,Xperience1st -,Hybrid,Sheikh Zayed,· 2 - 4,[Lead CX Consultant - Genesys Cloud] [Experienced] [Customer Service/Support] [IT/Software Development] [Genesys] [AWS]
Sales Software Account Manager,Roaya -,On-site,Maadi,· 1 - 3,[Sales Software Account Manager] [Experienced] [IT/Software Development] [Computer Science] [Sales] [Software]
Senior MS Exchange Engineer,Roaya -,On-site,Maadi,· 5 - 9,[Senior MS Exchange Engineer] [Experienced] [IT/Software Development] [Computer Science] [Exchange Server] [MS Exchange] [Security] [Information Technology (IT)]
Senior Shopify Webmaster and Developer,Confidential -,Remote,Cairo,· 3 - 4,[Senior Shopify Webmaster and Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [Shopify] [PHP] [Js] [JavaScript] [HTML] [E-Commerce]
IT Manager,Rozabella Textile  -,On-site,10th of Ramadan City,· 3+,[IT Manager] [Manager] [IT/Software Development] [Information Technology (IT)] [IT]
Senior Full stack developer,MTS-IT -,On-site,Maadi,· 2 - 5,[Senior Full stack developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [Computer Science] [HTML] [Full Stack] [Information Technology (IT)] [JavaScript] [jQuery] [MySQL]
Front End Developer,WUZZUF -,Hybrid,Maadi,· 1 - 3,[Front End Developer] [Entry Level] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [APIs] [Computer Science] [CSS] [Engineering] [Git] [HTML] [Information Technology (IT)]
System Analyst & Product Lead,AMK LLC -,On-site,Cairo,· 4 - 8,[System Analyst & Product Lead] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Agile] [Information Technology (IT)] [Product Owner] [Software Development] [Software Engineering] [Software tenders study] [Computer Science] [Engineering]
Senior Urban Design Engineer,NDG (Nature Design Group) -,On-site,Mohandessin,· 5 - 8,[Senior Urban Design Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Urban design] [Urban] [civil 3d] [AutoCAD] [Computer Science] [Information Technology (IT)] [Design] [photoshop] [proficiency]
Android Developer,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,6th of October,· 2 - 4,[Android Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Software Development] [Computer Science] [Android] [ITI] [RESTful] [MVC] [Git]
Senior Testing Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,Smart Village,· 3 - 5,[Senior Testing Engineer] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Computer Engineering] [API] [Information Technology (IT)] [quality] [Software Testing] [SQL] [Testing]
Automation Testing Engineer.,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,Smart Village,· 2 - 4,[Automation Testing Engineer.] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Automation] [Computer Science] [Engineering] [Information Technology (IT)] [Software Testing] [SQL] [Testing]
Senior Oracle Financial Consultant,Shoura Chemicals  -,On-site,Cairo,· 7+,[Senior Oracle Financial Consultant] [Experienced] [Accounting/Finance] [IT/Software Development] [Financial Management] [Oracle SCM] [Oracle] [Finance] [Accounting] [SCM]
asp.net developer,Abadnet -,On-site,Ain Shams,· 1 - 5,[asp.net developer] [Experienced] [IT/Software Development] [Web Advertising] [Web Development] [ASP.Net Web API]
Scrum Master,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,6th of October,· 7 - 10,[Scrum Master] [Experienced] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [Information Technology (IT)] [Computer Science] [Computer Engineering] [Agile] [ERP] [PMP] [Project Management]
IT Developer,Saudi German Hospital  -,On-site,Agami,· 3+,[IT Developer] [Experienced] [IT/Software Development] [Angular] [ASP.Net] [Computer Science] [JavaScript] [jQuery] [.Net] [Information Technology (IT)] [Software Development] [SQL]
Senior Full stack Web Developer (C # / ASP.NET),iucon Egypt -,Hybrid,Dokki,· 2 - 4,[Senior Full stack Web Developer (C # / ASP.NET)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [ASP.Net] [C#] [Computer Science] [Oracle] [AngularJS] [CSS] [SQL] [Information Technology (IT)]
Testing Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,Giza,· 6 - 10,[Testing Team Lead] [Manager] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Information Technology (IT)] [ISTQB] [Testing] [quality] [Banking] [Payments]
Senior Software Quality Control Engineer,ICIS -,Hybrid,New Cairo,· 2 - 5,[Senior Software Quality Control Engineer] [Experienced] [IT/Software Development] [Quality] [Computer Science] [Control] [quality] [Quality Assurance] [Quality control engineer] [Quality Control] [Software Quality] [software quality control]
IT Service Desk Specialist,Erada -,On-site,Alexandria,· 2 - 4,[IT Service Desk Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [IT] [Information Technology (IT)] [Help desk] [computer] [Computer Science]
Senior Odoo Developer,willys kitchen-Egypt -,On-site,Cairo,· 5 - 7,[Senior Odoo Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Software Development] [Odoo] [JavaScript] [HTML] [Python] [XML] [Software Engineering]
IT Service Desk Engineer,Nahdet Misr Publishing Group -,On-site,Mohandessin,· 2 - 4,[IT Service Desk Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [computer] [Computer Science] [Customer Service] [Engineering] [Information Technology (IT)] [MCSA] [IT]
Accountant,Microsolution  -,On-site,New Nozha,· 1 - 5,[Accountant] [Experienced] [Accounting/Finance] [IT/Software Development] [accountant] [Accounting] [Finance] [Financial Management] [Financial Analysis]
ABAP SAP,Zeina Group -,On-site,Sheikh Zayed,· 2 - 3,"[ABAP SAP] [Experienced] [IT/Software Development] [ABAP] [SAP ABAP] [JavaScript] [FIORI,] [CSS] [HTML] [adobe] [BADI] [BAPI]"
Software Developer,Microsolution  -,On-site,New Nozha,· 1 - 5,[Software Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Microsoft Certified Solutions Developer] [c#] [Microsoft SQL Server] [Information Technology (IT)] [Software Development] [Software Engineering]
IT Specialist,Med Sol Life Sceinces -,On-site,Nasr City,· 3 - 5,[IT Specialist] [Experienced] [IT/Software Development] [Information Technology (IT)] [MCSA] [Computer Science] [Communication]
Senior ETL Developer,BBI-Consultancy -,Hybrid,Nasr City,· 3 - 5,[Senior ETL Developer] [Experienced] [IT/Software Development] [Data] [Engineering] [Computer Engineering] [Database] [Informatica PowerCenter] [Informatica ETL] [SQL] [ETL]
Backend Developer,Confidential -,Remote,Maadi,· 1 - 3,[Backend Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [back-end] [Laravel] [PHP] [RESTful APIs] [RESTful API] [Mobile Development] [Database] [Computer Science]
Senior Odoo Functional Consultant,willys kitchen-Egypt -,On-site,Cairo,· 5 - 5,[Senior Odoo Functional Consultant] [Experienced] [IT/Software Development] [Analysis] [Computer Science] [ERP Implementation] [Information Technology (IT)] [Odoo] [Odoo ERP]
Customer Support Representative-AT&T Flagship Account,Sutherland -,On-site,Cairo,,[Customer Support Representative-AT&T Flagship Account] [Entry Level] [Customer Service/Support] [IT/Software Development] [Customer Service] [Customer Support] [Customer Experience] [customer engagement] [Customer Satisfaction] [customer insight] [Customer Care] [Customer Relations]
Senior Financial Analyst,Fawry Plus -,On-site,Smart Village,· 4 - 6,[Senior Financial Analyst] [Experienced] [Accounting/Finance] [IT/Software Development] [Analyst/Research] [Accounting] [Analyst] [Finance] [Financial] [Financial Analysis] [financial analyst] [Financial Management]
Full stack programmer with high experience in servers management,Binaries for Software Development  -,Remote,Nasr City,,[Full stack programmer with high experience in servers management] [Experienced] [Other] [Full Stack Development] [servers management]
Senior ERP Specialist,Confidential -,On-site,Nasr City,· 3 - 5,[Senior ERP Specialist] [Experienced] [IT/Software Development] [ERP Software] [ERP System] [Java] [Linux]
Dot Net Senior Full Stack Developer,Confidential -,On-site,Nasr City,· 3 - 5,[Dot Net Senior Full Stack Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Full Stack Development] [HTML] [Angular] [DotNet]
Sales Account Manager,Target Integrated Systems -,On-site,Maadi,· 2 - 6,[Sales Account Manager] [Experienced] [Business Development] [Sales/Retail] [CRM] [account manager] [Sales] [Sales Target] [sales skills] [Software] [business] [Communication]
ERP Administrator (Dynamics 365 F&O),Confidential -,On-site,10th of Ramadan City,· 2 - 5,[ERP Administrator (Dynamics 365 F&O)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Microsoft Dynamics] [Information Technology (IT)] [application] [Design] [computer] [Computer Science] [designing] [Development]
Senior Technical Office Engineer (Curtain Wall),Giant Fabrication  -,On-site,New Cairo,· 3+,[Senior Technical Office Engineer (Curtain Wall)] [Experienced] [Engineering - Construction/Civil/Architecture] [Engineering - Other] [Technical Office] [AutoCAD] [Microsoft Office] [Curtain Wall] [Engineering] [technical] [Structure Glazing] [Shop Drawings]
Senior Presales Engineer,Alkan CIT -,On-site,Mokattam,· 9 - 15,[Senior Presales Engineer] [Experienced] [IT/Software Development] [Presales Engineering] [Presales] [Proposals] [Technical Proposals]
Industrial Application Support Engineer,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,On-site,Alexandria,· 0 - 2,[Industrial Application Support Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Application Support] [Computer Science] [Engineering] [Information Technology (IT)] [Linux] [configuring] [Maintenance] [Oracle]
Front End Developer & UI/UX Designer,Health Insights Group -,On-site,Mohandessin,· 5+,[Front End Developer & UI/UX Designer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Angular] [Design] [CSS] [front-end] [Information Technology (IT)] [HTML] [JavaScript]
Cyber Security Engineer,Health Insights Group -,On-site,Mohandessin,· 5+,[Cyber Security Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Computer Science] [Network Security] [Security Systems] [DevOps] [Splunk] [ISO 27001] [NIST]
Chief Revenue Officer,Start Tech  -,On-site,Giza,· 8 - 11,[Chief Revenue Officer] [Senior Management] [Business Development] [Sales/Retail] [International Business Development] [International Sales] [Information Technology (IT)] [Digital Media Sales]
Technical Development Team Lead,Start Tech  -,On-site,Giza,· 7 - 10,[Technical Development Team Lead] [Manager] [IT/Software Development] [Architecture] [Development] [Information Technology (IT)] [Leadership] [Software Development]
Senior Full Stack Developer,Seoudi Supermarket -,Hybrid,Sheikh Zayed,· 3 - 5,[Senior Full Stack Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Full Stack] [HTML5] [Information Technology (IT)] [JavaScript] [MySQL] [PHP] [React]
Senior Legal Specialist,Chubb life Insurance -,On-site,Katameya,· 3 - 5,[Senior Legal Specialist] [Experienced] [Legal] [Legal] [Law]
Associate System Monitor Engineer,Target Integrated Systems -,On-site,Maadi,· 1 - 3,[Associate System Monitor Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Engineering] [Information Technology (IT)] [Troubleshooting]
System Engineer,Health Insights Group -,On-site,Giza,· 5 - 7,[System Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [DNS] [Linux] [Python] [System Administration] [DHCP]
Network Security Engineer,Confidential -,On-site,Giza,· 5 - 7,[Network Security Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [TCP/IP] [DNS] [DHCP] [BGP] [Network Security] [Networking] [VPN]
Contact Center Engineer,Health Insights Group -,On-site,Mohandessin,· 5+,[Contact Center Engineer] [Experienced] [IT/Software Development] [IVR] [PureConnect] [PureEngage] [CCaaS] [VXML] [JavaScript] [VoIP] [ICON] [GCP Certificate]
IT Specialist,Eastlands International School -,On-site,Shorouk City,· 3 - 10,[IT Specialist] [Experienced] [IT/Software Development] [IT Specialist] [IT]
Quality Assurance Senior Engineer,Al Ahly Momkn for e-payment -,On-site,Maadi,· 3 - 5,[Quality Assurance Senior Engineer] [Experienced] [IT/Software Development] [Quality] [Quality Assurance] [Quality Control] [Selenium WebDriver] [Appium] [Testing] [Computer Science]
Senior Control Systems Pre-Sales Engineer,Mafad Contracting Company   -,On-site,Smouha,· 3 - 10,[Senior Control Systems Pre-Sales Engineer] [Experienced] [Engineering - Telecom/Technology] [Engineering - Mechanical/Electrical] [Sales] [Pre-Sales] [BMS] [Building Management System] [Automatic Control] [Automation Control] [Communication] [Engineering]
Software Tester,Selah ElTelmeez For Publishing & printing -,On-site,Obour City,· 2 - 3,[Software Tester] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Software Testing] [API] [JMeter] [ISTQB] [Testing] [Software Engineering] [Software Development]
Devops Engineer,Ultimate Solutions Egypt -,On-site,Sheikh Zayed,· 1 - 2,[Devops Engineer] [Experienced] [IT/Software Development] [DevOps] [Computer Science] [Devops Engineer] [Information Technology (IT)] [engineer] [Software Development] [Programming Language] [programmer] [Computer Engineering]
Full Stack Team Lead,Holoolmed -,On-site,Sheikh Zayed,· 5 - 7,[Full Stack Team Lead] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [Agile] [React] [jQuery] [JavaScript] [SQL] [Computer Science] [Git]
Senior Front End Developer,Confidential -,Remote,Cairo,· 4 - 10,[Senior Front End Developer] [Experienced] [IT/Software Development] [Front-End Development] [React] [React Native] [Vue.js] [Angular] [Web Development] [JavaScript] [Software Development] [Computer Science]
Senior PHP Laravel Developer,LoadServ -,On-site,Heliopolis,· 4+,[Senior PHP Laravel Developer] [Experienced] [IT/Software Development] [PHP] [Laravel] [HTML5] [CSS3] [Git] [SQL] [MVC] [JavaScript]
Technical Product Owner,Confidential -,Hybrid,Cairo,· 5 - 8,[Technical Product Owner] [Manager] [IT/Software Development] [Project/Program Management] [Agile Software Development] [Project Management] [Product Management] [Software Engineering]
Senior Talent Acquistion Specialist,Paymob Solutions -,Hybrid,Maadi,· 3 - 5,[Senior Talent Acquistion Specialist] [Experienced] [Accounting/Finance] [IT/Software Development] [Hiring] [HR] [Mass Hiring] [Recruitment] [Talent acquisition] [Talent] [Human Resources (HR)] [Customer Service]
OpenText ECM Specialist,Tafeel -,On-site,Nasr City,· 5 - 8,[OpenText ECM Specialist] [Experienced] [IT/Software Development] [Computer Science] [Computer Engineering] [Information Technology (IT)] [ECM] [OpenText] [XML]
Java Developer,Nagarro MENA LLC -,On-site,Cairo,· 5 - 8,[Java Developer] [Experienced] [IT/Software Development] [Java] [Spring] [MSA] [Computer Science] [Information Technology (IT)] [MySQL] [JavaScript] [APIs] [Agile]
Senior Front-End Developer,Youxel -,Hybrid,Cairo,· 4+,[Senior Front-End Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [OOP] [MV] [HTML5] [CSS3] [RWD] [CSS] [javaScript] [AngularJS]
Senior Back End Developer,Youxel -,Hybrid,Maadi,· 3+,[Senior Back End Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Back End] [Backend Development] [Web Development] [Computer Science] [Information Technology (IT)] [.NET] [C#] [ASP.NET]
Marketing & Artwork Specialist,Cashcall -,Hybrid,Maadi,· 1 - 3,[Marketing & Artwork Specialist] [Entry Level] [Creative/Design/Art] [Marketing/PR/Advertising] [cashcall] [marketing] [Graphic Design]
Senior Data Engineer,Paymob Solutions -,Hybrid,Maadi,· 5 - 6,[Senior Data Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering] [Python] [SQL] [Database] [Pandas] [Computer Science] [Programming] [Software Development]
Senior Technical Office Engineer - Low Current & Control Systems,Mafad Contracting Company   -,On-site,Smouha,· 3 - 10,[Senior Technical Office Engineer - Low Current & Control Systems] [Experienced] [Engineering - Telecom/Technology] [Engineering - Mechanical/Electrical] [AutoCAD] [Communication] [Drawings] [Engineering] [Low Current Systems (LC)] [Automatic Control] [Technical Office] [Shop Drawings]
Front End Developer,Confidential -,On-site,Dokki,· 3 - 20,[Front End Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Frontend] [JavaScript] [Information Technology (IT)]
Flutter Developer,Capital Numbers Infotech Limited -,Remote,Cairo,· 4 - 6,[Flutter Developer] [Experienced] [IT/Software Development] [flutter] [Flutter developer] [Information Technology (IT)] [dart] [Android] [Mobile]
Senior Integration Support Engineer,Paymob Solutions -,Hybrid,Maadi,· 4 - 5,[Senior Integration Support Engineer] [Experienced] [Customer Service/Support] [IT/Software Development] [Engineering - Telecom/Technology] [Integration] [Information Technology (IT)] [Computer Science] [Customer Support] [Implementation] [Troubleshooting] [configuring]
IT Specialist,Confidential -,On-site,Sheikh Zayed,· 2+,[IT Specialist] [Experienced] [IT/Software Development] [IT Specialist] [IT] [Information Technology (IT)] [Technical Support]
Unity 3D Developer,BlueBell -,On-site,Nasr City,· 2 - 5,[Unity 3D Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Animation] [Programming] [Software Development] [Design] [C] [Game] [Information Technology (IT)]
Senior Front End Developer,Gulf Data International  -,On-site,Smouha,· 3 - 6,[Senior Front End Developer] [Experienced] [IT/Software Development] [Information Technology (IT)] [Leadership] [Software Development] [JavaScript] [Angular]
Product Manager,Confidential -,On-site,Maadi,· 3 - 5,[Product Manager] [Manager] [IT/Software Development] [Product Management] [Agile] [Product Strategy] [Customer Experience] [Market Analysis] [Project Management] [Engineering] [Cross-functional Teams] [Roadmap Development]
Mid-Level MERN Stack Engineer,Salem Ventures -,On-site,Maadi,· 3 - 5,[Mid-Level MERN Stack Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [Computer Science] [Information Technology (IT)] [JavaScript] [React] [Software Development] [Software Engineering]
Senior Cost Control Engineer,Urban Craft -,On-site,Sheikh Zayed,· 3 - 6,[Senior Cost Control Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [MS Office] [Control] [Cost Control] [Engineering] [AutoCAD] [Civil Engineering] [Architecture] [Cost] [English]
Project Coordinator (Odoo cordinator),Crevisoft Corporation -,On-site,Maadi,· 0 - 1,[Project Coordinator (Odoo cordinator)] [Entry Level] [Administration] [IT/Software Development] [Project/Program Management] [analytical] [Analytical Skills] [ERP] [Management] [Project Management] [Project Coordination]
Backend Developer (PHP & Lavarel),Precision Accounting International -,On-site,Smouha,· 1 - 3,[Backend Developer (PHP & Lavarel)] [Entry Level] [IT/Software Development] [AWS] [backend] [Computer Science] [Laravel] [MySQL] [PHP] [Software Development] [Software Engineering] [Symfony]
Application Engineer,L'azurde for Jewelry -,On-site,Cairo,· 2 - 5,[Application Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Applications] [Business Applications] [Cloud] [Computer Engineering] [SQL Server] [Computer Science] [Information Technology (IT)]
Software Tester,Namaa IT -,On-site,New Cairo,· 2+,[Software Tester] [Experienced] [IT/Software Development] [Quality] [Information Technology (IT)] [Computer Science] [Software Testing] [Quality Control] [Testing] [Automation] [Performance] [Test Cases]
Mid-Level .NET Full Stack Developer,Confidential -,Hybrid,6th of October,· 2 - 3,[Mid-Level .NET Full Stack Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [.Net] [Angular] [Computer Science] [CSS] [Engineering] [Full Stack] [Git]
Human Resource Recruiter,Integrated Technics -,On-site,Mokattam,· 4 - 5,[Human Resource Recruiter] [Experienced] [Administration] [Human Resources] [Operations/Management] [Human Resources (HR)] [Communication] [English] [job analysis] [Recruitment]
SEO Manager,Mediboost -,Remote,Cairo,· 5+,[SEO Manager] [Experienced] [IT/Software Development] [Marketing/PR/Advertising] [Digital Marketing] [Project Management] [SEO] [Team management] [Leadership]
Website Designer & Developer,Mediboost -,Remote,Cairo,· 3 - 4,[Website Designer & Developer] [Experienced] [IT/Software Development] [Marketing/PR/Advertising] [Design] [developer] [Remote] [website] [Computer Science] [CSS] [Git] [HTML]
Odoo Implementer,SERA Group -,On-site,Obour City,· 1 - 2,[Odoo Implementer] [Experienced] [Accounting/Finance] [IT/Software Development] [ERP] [Implementation] [Odoo] [Commerce] [Computer Science] [Information Technology (IT)]
PHP Laravel - Full Stack Developer,Namaa IT -,On-site,New Cairo,· 2 - 4,[PHP Laravel - Full Stack Developer] [Experienced] [IT/Software Development] [Laravel] [Full Stack] [Software Development] [PHP] [MySQL] [APIs] [RESTful] [Computer Science] [Bootstrap]
Business Analyst / Product Owner,52nd Solution  -,Remote,Cairo,· 3+,[Business Analyst / Product Owner] [Experienced] [IT/Software Development] [Analyst/Research] [Engineering - Telecom/Technology] [Engineering] [Software Engineering] [Software Development] [Business Analyst] [Product Owner] [Agile] [Scrum]
"QA Analyst (Strong in .NET, React, Node.js, and Cypress Experience)",InitRes -,Remote,Cairo,· 1+,"[QA Analyst (Strong in .NET, React, Node.js, and Cypress Experience)] [Experienced] [IT/Software Development] [Quality Assurance] [automated testing] [Information Technology (IT)] [Selenium] [Testing] [QA] [Computer Science]"
User Acceptance Testing Analyst,Etisalat Egypt -,On-site,Maadi,,[User Acceptance Testing Analyst] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Business Analysis] [Computer Science] [Information Technology (IT)] [Software] [User Acceptance Testing]
Scrum Master,Bydotpy -,On-site,Maadi,· 3 - 5,[Scrum Master] [Experienced] [IT/Software Development] [Agile] [automated testing] [Computer Science] [Information Technology (IT)] [Scrum] [Scrum Master] [Software] [Software Development] [Development]
Data Engineering Lead,Nahdet Misr Publishing Group -,Hybrid,Mohandessin,· 6 - 10,[Data Engineering Lead] [Experienced] [IT/Software Development] [Analyst/Research] [AWS] [Engineering] [Azure] [Analysis] [Cloud Development] [SQL] [Data Modeling] [Data Warehouse]
Sales Account Manager,data exploration technology -,On-site,Mokattam,· 2 - 4,[Sales Account Manager] [Senior Management] [Customer Service/Support] [IT/Software Development] [Marketing/PR/Advertising] [account manager] [Sales Target] [Sales] [sales account] [sales account manager] [sales skills] [Customer Service]
Front End Developer ( Vue.js ),Confidential -,On-site,Dokki,· 3 - 20,[Front End Developer ( Vue.js )] [Experienced] [IT/Software Development] [front-end] [Design] [HTML5] [Information Technology (IT)]
